Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
1376,E. nor. central,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,-1,Above average,White,Male,Not applicable,Don't know,Never married,0,23,16,14,14,Not applicable,$12500 to 14999
1377,E. nor. central,Christian,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,25.7,Far below average,White,Female,40,Someone else,Never married,0,25,16,Not applicable,12,Not applicable,$12500 to 14999
1378,E. nor. central,Moslem/islam,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,21.6,Above average,White,Male,15,Someone else,Never married,0,20,13,16,Not applicable,Not applicable,$1 000 to 2 999
1379,E. nor. central,Jewish,Part-time,Heterosexual or straight,3042,Not hispanic,White,Ballot c,84.5,Don't know,White,Male,30,Someone else,Separated,0,31,17,18,16,Not applicable,$10000 to 12499
1380,E. nor. central,Hinduism,Full-time,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot b,87.9,Below average,Other,Female,40,Someone else,Never married,0,26,16,16,18,Not applicable,Refused
1381,E. nor. central,Jewish,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,19.6,Average,White,Female,15,Someone else,Never married,0,19,13,Not applicable,16,Not applicable,$12500 to 14999
1382,E. nor. central,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,19.6,Far below average,White,Male,Not applicable,Someone else,Never married,0,30,14,16,16,Not applicable,$4 000 to 4 999
1383,E. nor. central,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,39.7,Average,White,Female,Not applicable,Someone else,Never married,0,23,17,16,14,Not applicable,Don't know
1384,E. nor. central,Don't know,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,-1,No answer,White,Male,25,Someone else,Never married,0,23,14,No answer,No answer,Not applicable,Refused
1385,E. nor. central,Catholic,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot c,77.4,Above average,White,Male,70,Self-employed,Married,1,53,16,19,18,19,$170000 or over
1386,E. nor. central,Protestant,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot b,37.6,Above average,White,Female,8,Someone else,Never married,0,19,13,12,15,Not applicable,$90000 to $109999
1387,E. nor. central,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,84.2,Average,White,Female,24,Someone else,Divorced,2,40,16,16,13,Not applicable,$60000 to 74999
1388,E. nor. central,Protestant,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,65.6,Average,White,Female,50,Someone else,Married,2,52,12,12,12,12,$60000 to 74999
1389,E. nor. central,None,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,46.5,Below average,White,Male,65,Someone else,Married,1,47,12,2,8,12,$50000 to 59999
1390,E. nor. central,Other,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,21.4,Far below average,Other,Male,70,Someone else,Never married,2,38,7,12,12,Not applicable,Don't know
1391,E. nor. central,Protestant,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,45.1,Below average,White,Female,48,Someone else,Married,2,54,12,12,11,12,$75000 to $89999
1392,E. nor. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,37.6,Average,White,Female,Not applicable,Someone else,Married,2,47,14,12,11,10,$22500 to 24999
1393,E. nor. central,Protestant,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,80.9,Average,White,Female,Not applicable,Someone else,Married,3,67,18,11,12,12,$60000 to 74999
1394,Mountain,None,Part-time,Not applicable,2574,Not hispanic,White,Ballot a,80.9,Above average,White,Male,Not applicable,Someone else,Never married,0,57,20,12,12,Not applicable,$20000 to 22499
1395,Mountain,None,Not applicable,Heterosexual or straight,31590,Not hispanic,White,Ballot c,73.1,Average,White,Male,Not applicable,Someone else,Widowed,3,89 or older,13,Don't know,Don't know,Not applicable,$60000 to 74999
1396,Mountain,Catholic,Not applicable,Heterosexual or straight,0,Spanish,"Other, mixed",Ballot b,52,Far below average,Other,Female,Not applicable,Someone else,Divorced,1,51,15,Not applicable,8,Not applicable,$40000 to 49999
1397,Mountain,Protestant,Part-time,Not applicable,0,Not hispanic,White,Ballot a,23.3,Above average,White,Female,20,Someone else,Married,0,32,13,12,16,12,$35000 to 39999
1398,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,25.7,Above average,White,Female,20,Someone else,Never married,0,22,13,Not applicable,16,Not applicable,$12500 to 14999
1399,Mountain,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,25.2,Far below average,White,Male,16,Someone else,Never married,2,42,12,12,12,Not applicable,Under $1 000
1400,Mountain,Protestant,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,-1,Above average,White,Female,Not applicable,Not applicable,Divorced,3,37,11,6,12,Not applicable,$20000 to 22499
1401,Mountain,Catholic,Part-time,Not applicable,4212,Salvadorian,White,Ballot a,29.5,Far below average,White,Male,40,Someone else,Married,2,54,16,Not applicable,6,16,$8 000 to 9 999
1402,Mountain,None,Full-time,Bisexual,0,Not hispanic,Black,Ballot c,37.6,Above average,Black,Female,20,Someone else,Never married,0,24,15,Not applicable,14,Not applicable,$25000 to 29999
1403,Mountain,Christian,Full-time,Not applicable,936,Not hispanic,"Other, mixed",Ballot a,37.6,Above average,White,Female,50,Someone else,Divorced,2,25,14,12,13,Not applicable,$40000 to 49999
1404,Mountain,Christian,Part-time,Heterosexual or straight,234,Not hispanic,Black,Ballot c,67.8,Average,Black,Female,Not applicable,Someone else,Never married,1,44,12,14,12,Not applicable,$6 000 to 6 999
1405,Mountain,Catholic,Full-time,Not applicable,7605,Spanish,White,Ballot a,27.6,Above average,White,Male,60,Someone else,Never married,0,25,14,20,18,Not applicable,$15000 to 17499
1406,Mountain,Catholic,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot c,36.4,Average,White,Male,86,Someone else,Married,2,24,15,Not applicable,12,12,$130000 to $149999
1407,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,67.7,Below average,White,Female,Not applicable,Someone else,Divorced,2,78,12,Not applicable,12,Not applicable,$75000 to $89999
1408,Mountain,None,Full-time,Heterosexual or straight,1638,Not hispanic,White,Ballot b,38.8,Above average,White,Female,35,Someone else,Never married,0,23,12,12,12,Not applicable,$20000 to 22499
1409,Mountain,Catholic,Full-time,Heterosexual or straight,11115,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,23,Below average,White,Male,36,Someone else,Married,1,38,6,3,12,14,$40000 to 49999
1410,Mountain,Protestant,Full-time,Not applicable,25740,"Mexican, mexican american, chicano/a",White,Ballot a,38.1,Far below average,White,Male,52,Someone else,Married,5,57,8,4,6,9,$50000 to 59999
1411,Mountain,Jewish,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.8,Average,White,Female,Not applicable,Someone else,Divorced,2,70,12,12,8,Not applicable,Refused
1412,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,25,Average,White,Male,Not applicable,Someone else,Divorced,4,69,12,12,13,Not applicable,$30000 to 34999
1413,Mountain,Catholic,Not applicable,Not applicable,0,Cuban,"Other, mixed",Ballot a,12.6,Below average,Black,Female,Not applicable,Someone else,Divorced,2,77,9,12,0,Not applicable,$8 000 to 9 999
1414,Mountain,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,32.6,Below average,White,Female,Not applicable,Self-employed,Married,4,85,12,12,12,16,$50000 to 59999
1415,Mountain,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,69.4,Above average,White,Male,60,Someone else,Never married,0,25,13,16,14,Not applicable,$130000 to $149999
1416,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,65.1,Below average,White,Male,Not applicable,Someone else,Widowed,3,62,14,Not applicable,12,Not applicable,$170000 or over
1417,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.3,Below average,White,Female,Not applicable,Someone else,Married,2,84,12,Not applicable,Don't know,12,Refused
1418,Mountain,None,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,52,Far below average,White,Female,Not applicable,Someone else,Married,4,71,11,Not applicable,12,16,$170000 or over
1419,Mountain,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,52,Average,White,Female,45,Self-employed,Married,3,54,16,16,12,19,$170000 or over
1420,Mountain,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,45.4,Below average,White,Male,Not applicable,Someone else,Married,3,74,12,Don't know,12,17,$90000 to $109999
1421,E. nor. central,None,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot b,57.5,Above average,White,Male,40,Someone else,Married,2,37,19,12,12,16,$90000 to $109999
1422,E. nor. central,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,58.1,Average,White,Male,Not applicable,Someone else,Married,2,80,14,12,14,12,$75000 to $89999
1423,E. nor. central,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,25,Average,White,Male,Not applicable,Someone else,Never married,0,74,8,12,12,Not applicable,$20000 to 22499
1424,E. nor. central,Christian,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,49.4,Below average,White,Female,36,Someone else,Married,2,37,12,Not applicable,12,12,$90000 to $109999
1425,E. nor. central,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,62.1,Average,White,Female,55,Someone else,Married,0,33,15,16,12,15,$75000 to $89999
1426,E. nor. central,Protestant,Full-time,Not applicable,0,Not hispanic,White,Ballot a,60.5,Average,White,Female,24,Someone else,Divorced,0,62,12,12,12,Not applicable,Refused
1427,E. nor. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,31.2,Average,White,Male,Not applicable,Someone else,Divorced,0,74,12,12,13,Not applicable,$30000 to 34999
1428,E. nor. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,62.9,Average,Other,Female,Not applicable,Someone else,Widowed,2,83,16,12,15,Not applicable,$35000 to 39999
1429,E. nor. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,20.1,Above average,White,Female,20,Someone else,Divorced,0,40,15,18,15,Not applicable,$1 000 to 2 999
1430,E. nor. central,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,88.7,Above average,White,Female,35,Someone else,Married,1,57,20,12,12,12,$90000 to $109999
1431,E. nor. central,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,77.7,Above average,White,Male,48,Someone else,Divorced,1,50,13,16,12,Not applicable,$50000 to 59999
1432,E. nor. central,None,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,27,Average,White,Male,40,Someone else,Never married,0,31,14,16,12,Not applicable,$60000 to 74999
1433,E. nor. central,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,84,Average,White,Male,38,Someone else,Married,3,36,18,13,12,18,$90000 to $109999
1434,E. nor. central,Protestant,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,43,Below average,White,Male,40,Self-employed,Widowed,4,83,9,Not applicable,6,Not applicable,$50000 to 59999
1435,E. nor. central,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,68.6,Average,White,Male,40,Someone else,Never married,0,58,1,12,12,Not applicable,$60000 to 74999
1436,E. nor. central,None,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,32.6,Above average,White,Male,40,Someone else,Never married,0,29,13,18,16,Not applicable,$30000 to 34999
1437,E. nor. central,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,46.6,Average,White,Male,48,Someone else,Married,3,50,12,12,12,8,$90000 to $109999
1438,E. nor. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,70.5,Below average,White,Male,Not applicable,Someone else,Divorced,2,64,18,12,12,Not applicable,$60000 to 74999
1439,E. nor. central,Catholic,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot b,84.2,Average,White,Male,32,Someone else,Married,2,43,16,12,14,18,$130000 to $149999
1440,E. nor. central,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot b,71.6,Average,White,Male,60,Someone else,Married,2,54,18,Not applicable,14,18,$170000 or over
1441,E. nor. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,82.5,Above average,White,Male,Not applicable,Someone else,Widowed,7,72,17,10,12,Not applicable,$75000 to $89999
1442,E. nor. central,Catholic,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,80.9,Average,White,Female,Not applicable,Someone else,Married,1,31,16,12,18,16,$110000 to $129999
1443,E. nor. central,Catholic,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,62.4,Above average,White,Male,40,Someone else,Never married,0,30,16,12,12,Not applicable,$75000 to $89999
1444,E. nor. central,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,37.2,Above average,White,Female,32,Someone else,Never married,0,36,18,12,12,Not applicable,Refused
1445,E. nor. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,-1,Below average,White,Male,Not applicable,Not applicable,Divorced,1,72,13,12,8,Not applicable,$22500 to 24999
1446,E. nor. central,Christian,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,38.3,Below average,White,Female,60,Someone else,Never married,0,56,12,Not applicable,Don't know,Not applicable,$75000 to $89999
1447,E. nor. central,Protestant,Part-time,Heterosexual or straight,6435,Not hispanic,White,Ballot c,52,Average,White,Female,20,Someone else,Married,2,29,14,12,12,12,$90000 to $109999
1448,E. nor. central,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,-1,Average,White,Female,Not applicable,Not applicable,Widowed,Eight or more,83,16,8,11,Not applicable,$75000 to $89999
1449,E. nor. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,84.2,Average,White,Female,Not applicable,Someone else,Married,4,80,17,16,12,18,Don't know
1450,E. nor. central,Catholic,Full-time,Heterosexual or straight,2574,Not hispanic,White,Ballot c,59.1,Far below average,White,Male,Not applicable,Self-employed,Divorced,5,61,12,12,Don't know,Not applicable,$10000 to 12499
1451,E. nor. central,Protestant,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot b,46,Average,White,Male,40,Self-employed,Married,3,53,12,12,12,12,$90000 to $109999
1452,E. nor. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,68.6,Above average,White,Female,Not applicable,Someone else,Married,0,61,16,12,12,19,$110000 to $129999
1453,E. nor. central,Protestant,Full-time,Not applicable,7605,Not hispanic,White,Ballot c,26.5,Above average,White,Female,50,Self-employed,Married,3,52,14,12,12,12,$90000 to $109999
1454,Mountain,Catholic,Full-time,Heterosexual or straight,21060,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,28.3,Far below average,Other,Male,55,Someone else,Married,5,37,13,8,6,12,$60000 to 74999
1455,Mountain,None,Full-time,Not applicable,17550,Not hispanic,White,Ballot a,37.2,Average,White,Female,56,Someone else,Never married,0,24,12,Not applicable,12,Not applicable,$75000 to $89999
1456,Mountain,Christian,Not applicable,Bisexual,0,Not hispanic,White,Ballot b,53.7,Below average,White,Female,Not applicable,Someone else,Separated,2,50,17,16,13,Not applicable,$75000 to $89999
1457,Mountain,None,Full-time,Not applicable,11115,Not hispanic,White,Ballot a,67.8,Average,White,Female,40,Someone else,Married,1,28,12,12,12,12,$50000 to 59999
1458,Mountain,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,-1,Below average,White,Female,Not applicable,Not applicable,Divorced,0,30,12,10,12,Not applicable,$22500 to 24999
1459,Mountain,Protestant,Full-time,Heterosexual or straight,8775,Not hispanic,White,Ballot b,83.8,Below average,White,Male,50,Someone else,Married,7,36,12,13,12,12,$40000 to 49999
1460,Mountain,None,Part-time,Bisexual,0,Not hispanic,White,Ballot b,63.7,Above average,White,Male,40,Someone else,Never married,0,24,16,18,16,Not applicable,$20000 to 22499
1461,Mountain,Protestant,Full-time,Not applicable,7605,Not hispanic,Black,Ballot a,39.7,Far below average,Other,Female,32,Someone else,Divorced,3,63,13,Not applicable,4,Not applicable,$25000 to 29999
1462,Mountain,None,Full-time,Heterosexual or straight,4212,Not hispanic,White,Ballot b,25,Far above average,White,Male,44,Someone else,Never married,0,22,15,20,16,Not applicable,$10000 to 12499
1463,Mountain,Orthodox-christian,Part-time,"Gay, lesbian, or homosexual",2106,Not hispanic,White,Ballot c,35.8,Above average,White,Male,23,Someone else,Never married,0,20,13,13,14,Not applicable,$5 000 to 5 999
1464,Mountain,Protestant,Full-time,Heterosexual or straight,936,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,41.1,Below average,White,Female,27,Someone else,Never married,1,31,11,Don't know,6,Not applicable,$10000 to 12499
1465,Mountain,None,Full-time,Heterosexual or straight,9945,Not hispanic,Black,Ballot c,24.2,Far below average,Black,Female,40,Someone else,Never married,1,31,12,12,8,Not applicable,$20000 to 22499
1466,Mountain,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,69.4,Don't know,White,Male,Not applicable,Someone else,Divorced,3,74,14,10,Not applicable,Not applicable,$30000 to 34999
1467,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,38.1,Average,White,Female,Not applicable,Someone else,Divorced,5,83,11,Don't know,12,Not applicable,$8 000 to 9 999
1468,Mountain,Protestant,Full-time,Heterosexual or straight,65520,Not hispanic,White,Ballot c,86.5,Average,White,Male,75,Self-employed,Married,7,61,18,12,16,16,$130000 to $149999
1469,Mountain,None,Full-time,Heterosexual or straight,8775,Not hispanic,White,Ballot b,39.7,Above average,White,Male,40,Someone else,Never married,0,22,14,12,16,Not applicable,$17500 to 19999
1470,Mountain,Protestant,Part-time,Not applicable,8775,Not hispanic,White,Ballot a,26.1,Average,White,Female,26,Someone else,Married,6,63,14,Don't know,12,14,$40000 to 49999
1471,Mountain,None,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,38.1,Average,White,Male,46,Someone else,Divorced,3,46,12,Not applicable,12,Not applicable,$75000 to $89999
1472,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,80.9,Average,White,Female,Not applicable,Someone else,Widowed,3,83,20,Don't know,16,Not applicable,$60000 to 74999
1473,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,38.8,Above average,White,Female,Not applicable,Someone else,Married,4,38,16,18,16,18,$170000 or over
1474,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,43,Average,White,Male,Not applicable,Someone else,Married,5,80,14,11,12,13,$90000 to $109999
1475,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.8,Above average,White,Female,Not applicable,Someone else,Married,2,58,13,16,11,16,$170000 or over
1476,E. sou. central,None,Part-time,Not applicable,6435,Not hispanic,White,Ballot a,21.6,Far below average,White,Female,30,Someone else,Married,0,52,12,12,12,8,$20000 to 22499
1477,E. sou. central,Protestant,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,45.3,Average,White,Female,Not applicable,Someone else,Married,2,31,12,Don't know,12,11,$60000 to 74999
1478,E. sou. central,None,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,63.2,Average,White,Male,60,Someone else,Married,4,34,15,13,17,14,$130000 to $149999
1479,E. sou. central,Protestant,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,28.6,Above average,White,Female,Not applicable,Someone else,Married,1,31,12,9,12,14,$60000 to 74999
1480,E. sou. central,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,59.8,Above average,White,Male,55,Someone else,Married,2,63,13,11,12,12,Refused
1481,E. sou. central,None,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,62.1,Average,White,Female,40,Someone else,Never married,0,57,16,16,14,Not applicable,$60000 to 74999
1482,E. sou. central,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,"Other, mixed",Ballot b,20.7,Below average,White,Male,80,Someone else,Married,2,45,14,16,12,14,$110000 to $129999
1483,E. sou. central,Catholic,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,31.2,Far below average,White,Male,42,Someone else,Married,2,60,9,Not applicable,Don't know,11,$75000 to $89999
1484,E. sou. central,Protestant,Part-time,Heterosexual or straight,6435,Not hispanic,White,Ballot c,24.6,Don't know,White,Female,35,Self-employed,Married,2,67,11,Don't know,Don't know,8,$22500 to 24999
1485,E. sou. central,Protestant,Full-time,Heterosexual or straight,12870,Not hispanic,Black,Ballot b,20.7,Below average,Black,Male,7,Someone else,Never married,0,63,12,12,12,Not applicable,$25000 to 29999
1486,E. sou. central,Christian,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,53.7,Below average,Other,Male,53,Someone else,Divorced,4,50,20,18,15,Not applicable,$35000 to 39999
1487,E. sou. central,Protestant,Full-time,Heterosexual or straight,17550,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,45.4,Below average,Other,Male,40,Someone else,Married,2,29,11,Don't know,0,12,$50000 to 59999
1488,E. sou. central,Protestant,Full-time,Not applicable,0,Not hispanic,White,Ballot a,19.6,Average,White,Female,Not applicable,Someone else,Married,1,23,12,Not applicable,16,Don't know,Refused
1489,E. sou. central,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,43.5,Average,White,Male,40,Someone else,Married,5,59,12,12,12,20,$90000 to $109999
1490,E. sou. central,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,82.5,Above average,White,Female,40,Someone else,Married,2,38,19,19,16,16,$130000 to $149999
1491,E. sou. central,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,57.8,Above average,White,Female,27,Someone else,Never married,0,32,16,16,12,Not applicable,$60000 to 74999
1492,E. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,"Asiatic, oriental",Ballot a,71.8,Above average,Other,Male,Not applicable,Someone else,Never married,0,32,14,16,16,Not applicable,$50000 to 59999
1493,E. sou. central,Protestant,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,63.7,Below average,White,Male,55,Someone else,Never married,0,48,14,Not applicable,10,Not applicable,$40000 to 49999
1494,E. sou. central,Protestant,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot c,23.3,Below average,White,Female,40,Someone else,Married,0,64,13,7,8,8,$40000 to 49999
1495,E. sou. central,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,78.3,Below average,White,Female,48,Someone else,Never married,0,30,16,12,12,Not applicable,$60000 to 74999
1496,E. sou. central,Protestant,Not applicable,Not applicable,3042,Not hispanic,Black,Ballot a,33.4,Average,Black,Female,40,Someone else,Never married,1,25,15,Not applicable,12,Not applicable,$10000 to 12499
1497,E. sou. central,Moslem/islam,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot c,37.6,Average,Black,Female,38,Someone else,Divorced,4,48,12,15,14,Not applicable,$22500 to 24999
1498,E. sou. central,Catholic,Full-time,Heterosexual or straight,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,12.4,Far below average,White,Female,Not applicable,Someone else,Married,2,29,6,4,Not applicable,12,$25000 to 29999
1499,E. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,86.6,Above average,White,Male,53,Someone else,Never married,0,23,17,Don't know,14,Not applicable,Under $1 000
1500,E. sou. central,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,57.5,Above average,White,Male,60,Someone else,Never married,0,44,14,12,16,Not applicable,$60000 to 74999
1501,E. sou. central,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,Black,Ballot b,87.9,Average,Black,Female,45,Someone else,Divorced,2,55,18,Not applicable,5,Not applicable,$110000 to $129999
1502,E. sou. central,Protestant,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,61.4,Above average,White,Male,50,Someone else,Never married,0,25,16,16,16,Not applicable,$40000 to 49999
1503,E. sou. central,Protestant,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,92,Below average,White,Male,55,Someone else,Married,2,59,17,12,12,16,$130000 to $149999
1504,E. sou. central,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,Black,Ballot b,78.3,Below average,Black,Male,40,Someone else,Never married,1,60,17,12,12,Not applicable,$130000 to $149999
1505,E. sou. central,Protestant,Part-time,Not applicable,8775,Not hispanic,White,Ballot a,37.6,Average,White,Female,32,Someone else,Married,1,53,17,16,12,16,$110000 to $129999
1506,New england,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,27.7,Average,White,Male,56,Someone else,Never married,0,46,12,12,12,Not applicable,Refused
1507,New england,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,50,Below average,White,Female,Not applicable,Someone else,Married,3,86,12,8,12,12,Refused
1508,New england,Protestant,Full-time,Bisexual,0,Not hispanic,Black,Ballot c,21.6,Average,Black,Female,25,Someone else,Never married,0,29,12,Not applicable,12,Not applicable,Don't know
1509,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,46.6,Below average,White,Female,Not applicable,Someone else,Widowed,2,70,12,10,8,Not applicable,$30000 to 34999
1510,New england,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,75.5,Below average,White,Female,60,Someone else,Divorced,3,50,16,12,13,Not applicable,$50000 to 59999
1511,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,80.9,Below average,White,Female,Not applicable,Someone else,Widowed,5,79,16,Don't know,12,Not applicable,$50000 to 59999
1512,New england,Protestant,Full-time,Heterosexual or straight,11115,Not hispanic,White,Ballot b,23.3,Below average,White,Male,40,Someone else,Never married,0,29,16,11,11,Not applicable,Don't know
1513,New england,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,57.5,Average,White,Female,50,Someone else,Divorced,4,50,12,12,12,Not applicable,Don't know
1514,New england,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,34.7,Below average,White,Male,Not applicable,Someone else,Never married,0,61,16,Not applicable,13,Not applicable,$17500 to 19999
1515,New england,Protestant,Not applicable,Heterosexual or straight,0,Puerto rican,White,Ballot b,21.6,Below average,White,Female,Not applicable,Someone else,Never married,0,23,12,16,12,Not applicable,$30000 to 34999
1516,New england,None,Part-time,Not applicable,12870,Not hispanic,White,Ballot a,19.6,Below average,White,Female,32,Someone else,Never married,0,21,14,12,16,Not applicable,$130000 to $149999
1517,New england,Catholic,Full-time,Heterosexual or straight,9945,Not hispanic,White,Ballot c,39.7,Average,White,Female,Not applicable,Someone else,Married,1,29,15,16,16,14,$90000 to $109999
1518,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,32.6,Average,White,Female,Not applicable,Someone else,Widowed,3,80,12,12,12,Not applicable,$12500 to 14999
1519,New england,Protestant,Full-time,Not applicable,7605,Not hispanic,White,Ballot a,13.6,Below average,White,Female,40,Someone else,Never married,0,25,15,Not applicable,15,Not applicable,$35000 to 39999
1520,New england,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,-1,Average,White,Female,Not applicable,Not applicable,Married,3,71,0,Don't know,Don't know,12,$15000 to 17499
